"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "HTML", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\pages\SignIn.js", "JavaScript", 0, 0, 148, 0, 0, 0, 0, 0, 14, 162
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\pages\Signup.js", "JavaScript", 0, 0, 162, 0, 0, 0, 0, 0, 13, 175
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\CalendarTab.css", "CSS", 0, 0, 0, 61, 0, 0, 0, 4, 15, 80
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\DashStyles.css", "CSS", 0, 0, 0, 102, 0, 0, 0, 0, 19, 121
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\Landing.css", "CSS", 0, 0, 0, 133, 0, 0, 0, 6, 25, 164
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\MeetTeam.css", "CSS", 0, 0, 0, 41, 0, 0, 0, 1, 6, 48
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\ResetPassword.css", "CSS", 0, 0, 0, 73, 0, 0, 0, 0, 7, 80
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\Services.css", "CSS", 0, 0, 0, 85, 0, 0, 0, 1, 14, 100
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\SignIn.css", "CSS", 0, 0, 0, 151, 0, 0, 0, 3, 21, 175
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\SignUp.css", "CSS", 0, 0, 0, 132, 0, 0, 0, 1, 15, 148
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\StaffAnalytics.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\StaffInventory.css", "CSS", 0, 0, 0, 63, 0, 0, 0, 0, 12, 75
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\StudentHome.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\headerNav.css", "CSS", 0, 0, 0, 102, 0, 0, 0, 0, 18, 120
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\frontend\src\styles\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\package-lock.json", "JSON", 147, 0, 0, 0, 0, 0, 0, 0, 1, 148
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 22085, 39, 1973, 962, 20, 2, 3, 61, 459, 25604
