"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Hani\OneDrive - St. Mary's University\Documents\VSCodeProjects\PinkCat\Backend\Models\userModel.js", "JavaScript", 10, 0, 1, 11
"Total", "-", 10, 0, 1, 11
